FILE,,VEHICLE INFO,,,,,,,,,TEMPLATE NUMBER,,,,,,,,,,,SIZE (1:20 Scale),,,NOTES,
Count,Segment,Make,Model,Year,Trim (Series),Count (U.S.),Cumulative %,Remove Trim Unique ID,# of different templates,Count ,a,b,c,d,e,f,g,h,i,j,k,Size 1,Size 2,Size 3,,
78,Pickup - Small,Chevrolet,S10,2000,Unspecified,"123,930",,ChevroletS102000,,78,52,53,54,769,,,,,,,,"2.747""w X 0.9347""h",,,All the Same Size and Template,
79,Pickup - Full Sized,GMC,Sierra 1500,2007,Unspecified,"122,855",,GMCSierra 15002007,,79,428,,,,,,,,,,,"3.3017""w X 1.2424""h",,,Opened File and Checked DIMs,
80,Pickup - Full Sized,Chevrolet,Silverado 1500,2010,LT,"120,104",,ChevroletSilverado 15002010,,80,20,21,22,23,24,25,26,30,,,,"3.089""w X 1.1663""h",,,All the Same Size and Template,
81,Pickup - Full Sized,GMC,Sierra 1500,2005,Unspecified,"118,774",,GMCSierra 15002005,,81,428,,,,,,,,,,,"3.3017""w X 1.2424""h",,,,
82,Pickup - Small,Ford,Ranger,2004,Unspecified,"118,650",,FordRanger2004,,82,575,576,577,578,,,,,,,,"2.7002""w X 1.0433""h",,,All the Same Size and Template,
83,Pickup - Full Sized,Toyota,Tundra,2008,Unspecified,"118,091",,ToyotaTundra2008,,83,320,,,,,,,,,,,"3.2083""w X 1.2261""h",,,Opened File and Checked DIMs,
84,Pickup - Full Sized,Ford,F350 Super Duty,2017,Unspecified,"117,559",,FordF350 Super Duty2017,,84,701,,,,,,,,,,,"3.1982""w X1.2058""h",,,Opened File and Checked DIMs,
85,Pickup - Full Sized,Ford,F250 Super Duty,2005,Unspecified,"117,425",,FordF250 Super Duty2005,,85,1,,,,,,,,,,,"3.2132""w X 1.1593""h",,,,
86,Pickup - Full Sized,Dodge,Ram 1500,2010,Unspecified,"114,830",,DodgeRam 15002010,,86,80,,,,,,,,,,,"3.1873""w X 1.1192""h",,,Opened File and Checked DIMs,
87,Pickup - Full Sized,GMC,Sierra 1500,2004,Unspecified,"114,770",,GMCSierra 15002004,,87,428,,,,,,,,,,,"3.3017""w X 1.2424""h",,,Opened File and Checked DIMs,
88,Pickup - Full Sized,Dodge,Ram 1500,2014,SLT,"114,569",,DodgeRam 15002014,,88,80,,,,,,,,,,,"3.1873""w X 1.1192""h",,,Opened File and Checked DIMs / Duplicated in List,
89,Pickup - Full Sized,Toyota,Tundra,2006,SR5,"113,633",,ToyotaTundra2006,,89,214,215,217,218,,,,,,,,"3.0437""w X 0.9491""h","2.6268""w X 1.009""h","2.6268""w X 1.009""h",2 Styles / 3 Sizes,
90,Pickup - Full Sized,Chevrolet,Silverado 2500,2001,Unspecified,"113,037",,ChevroletSilverado 25002001,,90,719,,,,,,,,,,,"3.1037""w X 1.1678""h",,,,
91,Pickup - Full Sized,GMC,Sierra 1500,2018,SLT,"111,659",,GMCSierra 15002018,,91,160,,,,,,,,,,,"3.1138""w X 1.1315""h",,,,
92,Pickup - Full Sized,GMC,Sierra 1500,2000,Unspecified,"111,467",,GMCSierra 15002000,,92,428,,,,,,,,,,,"3.3017""w X 1.2424""h",,,,
93,Pickup - Small,Chevrolet,S10,2003,Unspecified,"110,404",,ChevroletS102003,,93,52,53,54,769,,,,,,,,"2.747""w X 0.9347""h",,,All the Same Size and Template,
94,Pickup - Full Sized,GMC,Sierra 1500,2006,Unspecified,"109,471",,GMCSierra 15002006,,94,428,,,,,,,,,,,"3.3017""w X 1.2424""h",,,Opened File and Checked DIMs,
95,Pickup - Full Sized,Dodge,Ram 2500,2006,Unspecified,"109,383",,DodgeRam 25002006,,95,673,,,,,,,,,,,"3.1617""w X 1.1619""h",,,,
96,Pickup - Full Sized,Chevrolet,Silverado 1500,2019,LT,"109,085",,ChevroletSilverado 15002019,,96,802,,,,,,,,,,,"3.1385""w X 1.2355""h",,,,
97,Pickup - Full Sized,Dodge,Ram 1500,2017,Tradesman,"108,737",,DodgeRam 15002017,,97,80,,,,,,,,,,,"3.1873""w X 1.1192""h",,,Opened File and Checked DIMs / Duplicated in List,
98,Pickup - Full Sized,Toyota,Tundra,2007,SR5,"107,643",,ToyotaTundra2007,,98,320,,,,,,,,,,,"3.2083""w X 1.2261""h",,,Opened File and Checked DIMs,
99,Pickup - Full Sized,GMC,Sierra 1500,2008,Unspecified,"107,555",,GMCSierra 15002008,,99,20,,,,,,,,,,,"3.089""w X 1.1663""h",,,,
100,Pickup - Full Sized,Ford,F350 Super Duty,2006,Unspecified,"106,816",,FordF350 Super Duty2006,,100,1,,,,,,,,,,,"3.2132""w X 1.1593""h",,,Opened File and Checked DIMs,
101,Pickup - Full Sized,Ford,F350 Super Duty,2015,Unspecified,"106,325",,FordF350 Super Duty2015,,101,,,,,,,,,,,,,,,,
102,Pickup - Full Sized,Dodge,Ram 2500,2001,Unspecified,"105,965",,DodgeRam 25002001,,102,,,,,,,,,,,,,,,,
103,Pickup - Full Sized,Ram,1500,2015,SLT,"105,606",,Ram15002015,,103,,,,,,,,,,,,,,,,
104,Pickup - Full Sized,Ford,F350 Super Duty,2008,Unspecified,"103,992",,FordF350 Super Duty2008,,104,,,,,,,,,,,,,,,,
105,Pickup - Full Sized,Ram,1500,2012,ST,"100,307",,Ram15002012,,105,,,,,,,,,,,,,,,,
